name,Affiliation,Citations
seongho choi,"School of Undergraduate Studies, College of Transdisciplinary Studies, DGIST",938
yan cao,Tula Technology,6919
shiqi zhang,"Assistant Professor of Computer Science, SUNY Binghamton",684
chung-cheng chiu,Google Brain,1569
yonghui wu,Google Brain,9570
wei han,"Professor of Computer Science and Engineering, The Ohio State University",7546
yubo zhang,Southern University of Science and Technology of China,2185
asir saeed,United States Air Force,320
xiangyang li,HuaZhong Agricultural University,76165
yuxuan wang,"Dept of Earth and Atmospheric Sciences, University of Houston",5689
michael heck,"Heinrich Heine University Düsseldorf, Germany",141
milica gašić,"Professor, Heinrich-Heine-University Düsseldorf",5491
yifan peng,Research Fellow at NCBI/NLM/NIH,2568
zhiyong lu,"Deputy Director for Literature Search, NCBI; Senior Investigator, NCBI-NLM",15663
guodong zhou,"Soochow University, China",8951
wenhao yu,"School of Geography and Information Engineering, China University of Geosciences",388
meng jiang,General Motors R&D,2195
ahmed elgohary,University of Maryland,1565
tian guo,Dalian University of Technology,831
zein shaheen,Postgraduate-Faculty of Agriclture-Mansoura University,3
brendan kennedy,"Professor of Chemistry, The University of Sydney",13867
xiang ren,"Assistant Professor of Computer Science, USC",3366
"""ting-hao kenneth huang""",Pennsylvania State University,589
chao jiang,Pacific Northwest National Laboratory,4146
wei xu,"Princess Margaret Cancer Centre, University of Toronto",18275
jimmy lin,Johns Hopkins School of Medicine,64331
wenxuan zhou,University of Illinois at Urbana-Champaign,1148
hao zhang,"LEC, Lancaster University",16275
rahul jha,"Applied Scientist, Microsoft",296
hua wu,"Department of Electrical Engineering, National Tsing Hua University",7326
tanya goyal,University of Texas at Austin,49
hao cheng,"Department of Earth Sciences, National Central University",63304
peter hase,metaphacts GmbH,7943
ngoc thang vu,Vietnam National University of Agriculture,202
young mo kang,Professor of Department of Internal Medicine Kyungpook National University School of …,5500
yingbo zhou,"Research Director, Salesforce Research",1958
siva reddy,International Centre for Genetic Engineering and Biotechnology,8059
kartik goyal,Carnegie Mellon University,212
ruiyi zhang,Duke University,295
lei shen,National university of Singapore,4267
meng chen,"Guangzhou institute of geochemistry, Chinese Academy of Sciences",85899
abhinav shukla,"Chief Technical Operations Officer, Redpin Therapeutics",3248
natalia tomashenko,"LIA, University of Avignon, France",353
afshin rahimi,Lecturer @ The University of Queensland,426
yang zhang,"Depart. of Electrical and Computer Engineering, New Jersey Institute of Technology",54977
erik jones,Johns Hopkins University SAIS,2613
vikas yadav,scientist,5564
wei zhao,浙江吉利控股集团,110295
lluís màrquez,Principal Applied Scientist,8689
james glass,MIT Computer Science and Artificial Intelligence Laboratory,16889
gerard de melo,Professor at Hasso Plattner Institute / University of Potsdam,3033
luis enrico lopez,"PhD Student, Strasbourg University",18
wei bao,"Chair Professor, Department of Physics, City University of Hong Kong",10001
masahiro kaneko,"Department of Chemical Systems Engineering, Graduate School of Engineering, Nagoya …",46
yu zhang,Tsinghua university,67884
tianlu wang,"Graduate Student, University of Virginia",551
shuo wang,"Graduate student, Shanghai Normal University",142123
william lane,"Harvard University, MSPRL Director (Mass Spectrometry & Proteomics Resource Lab)",71361
quang pham,UNSW,3878
sen wu,National Pingtung University,27772
christopher ré,"Computer Science, Stanford University",14050
giovanni campagna,"Full Professor of Biochemistry, Università della Campania L.Vanvitelli",4360
zhen wang,"Ruhr-Universität Bochum, UCAS",46710
huan sun,Sun Yat-Sen University,869
hideki nakayama,"Professor of Environmental Science, Nagasaki University",1239
wentao xu,Chinese Agricultural University,9186
van huy nguyen,Lac Hong University,482
lifu tu,"Professor for Sustainable Manufacturing and Life Cycle Engineering, Technische Universität …",8108
david mueller,"Professor of Applied and Engineering Physics, Cornell University",43575
clara meister,ETH Zürich,6
swaroop mishra,"Xavier Institute of Management, Bhubaneswar",222
ben hutchinson,University of Oregon,1194
željko agić,Head of Applied Science at Corti; PhD in Natural Language Processing,1254
joachim wagner,"Professor of Economics, Leuphana University Lueneburg",16846
jennifer foster,"ADAPT, School of Computing, Dublin City University",2180
harsh trivedi,Networked Things Pty Ltd,59
pei zhou,"Zhou Pei-Yuan Center for Applied Mathematics, Tsinghua University",10587
tu vu,"Professor of Comp.Sci., VU University Amsterdam, and Visiting Professor, TU Delft",8138
yi tay,"Research Scientist, Google AI",1686
che zheng,"PhD candidate, University of Wollongong, Wollongong, Australia",140
frank f. xu,Helmut Schmidt University,1785
nan duan,Shanghai Jiao Tong University,248
thuy vu,"Curtin University, Malaysia",947
asad mahmood,University of Peshawar,581
yixin cao,National University of Singapore,604
jieyu zhao,"Ph.D. student, UCLA",694
qingqing cao,Stony Brook University,42
abu shoeb,"Khalifa University, Abu Dhabi, UAE.",332
xingyu fu,University of Waikato,209
renjie zheng,"Resident of Department of Anesthesiology, Renji Hospital, Shanghai JiaoTong University …",432
liang huang,Univeristy of Auckland,34672
peter clark,"CEOAS, Oregon State University",32242
wonseok hwang,"University of Maryland, College Park",522
rajarshi bhowmik,"DST-INSPIRE Faculty, Indian Institute of Science",41
piotr rybak,Military University of Technology,246
sandeep subramanian,"MILA, University of Montreal",3100
xing niu,"NUDT, KTH",796
xiang yue,Centre for Climate Research Singapore,13033
hu hu,Harvard School of Public Health,319783
sai prasanna,"Dept. of Information Technology, Veer Surendra Sai University of Technology",96
yizhe zhang,Senior Researcher at Microsoft Research (Redmond),1792
bill dolan,"Principal Researcher, Microsoft Research AI",14925
yue dong,"Distinguished Scientist and Vice General Manager, Tencent AI Lab",34568
sarthak jain,Northeastern University,310
shi zhi,"Kaufman 252,Norfolk, VA, 23529, USA",6206
tao li,Florida International University,18482
iria da cunha,"IA UNICAMP - UNINOVE - USC, Bauru",1632
zhaoyang wang,The Catholic University of America,3569
hongtao wang,"College of Environmental Science and Engineering,Tongji University",3365
louis martin,Professor at Washington University in Saint Louis and at Dalhousie University,47126
benoît sagot,"Chargé de recherches at Inria, head of the ALMAnaCH team",3152
yang feng,"Professor of the Department of Information Enginering and Computer Science, Feng Chia …",16794
benjamin muller,Neuro-inspired AI Researcher,3913
prasetya ajie utama,Technische Universität Darmstadt,49
xabier soto,Brookhaven National Laboratory,443
qiang ning,Allen Institute for AI,259
hongming zhang,"Technology Expert, Alibaba.com",34527
long ma,Massachusetts General Hospital,7440
linjie li,"Postdoc in Epithelial Biology Program, Stanford University",1159
jingjing liu,National University of Singapore,3785
svitlana volkova,"Data Sciences and Analytics Group, National Security Directorate, Pacific Northwest …",1512
aaron mueller,"Research Fellow, Nanyang Technological University",62
yi luan,Google Research,441
michael collins,"Professor of Computer Science, Columbia University; Google NYC",23964
pedro rodriguez,(1) LOYOLA.Tech and (2) BarcelonaTech University,36606
zhiguang wang,"ECE, Northeastern University & Department of Neurology, MGH",1302
muhao chen,University of Pennsylvania,390
forrest davis,"Department of Psychology, University of California - Davis",51
kai sun,"Department of Materials Science and Engineering, University of Michigan",13243
xudong liu,Queen's University,3626
m. maree,Stanley medical research institution,15395
huajun chen,Apple,4101
yu cheng,Professor Department of Pharmacy National University of Singapore,100700
dinesh raghu,La Trobe University,345
nikhil gupta,"New York University, Tandon School of Engineering",8201
jing han,"Partner Institute for Computational Biology, Chinese Academy of Sciences",12031
thy thy tran,Oregon Health & Science University,43
benjamin schiller,"Professor für Physikalische Chemie, IPHT Jena und Friedrich-Schiller-Universität Jena",7834
yiding hao,"PhD Student, Yale University",36
firoj alam,RMIT,4018
he bai,Oklahoma State University,1223
ming li,"Dr. Chemistry, The University of Hong Kong",146065
giuseppe russo,Medico Chirurgo,3664
ce zhang,"Phd, Drexel University",5855
arjun majumdar,"Professor Computer Science and Engineering, Indian Institute of Technology, Kharagpur",4633
deborah ferreira,"Professor of Biological Engineering, Universidade do Minho",5379
andre freitas,Campinas State University,7656
ben saunders,"Lecturer in Applied Health Research, Keele University",2347
elizabeth nielsen,"Research Professor, American Bar Foundation & Professor of Sociology, Northwestern …",2503
federico bianchi,"Institute for Atmospheric and Earth System Research, University of Helsinki",4762
zhiyong wu,"Professor of Hydrology and Water Resources, Hohai University ",24734
bo wang,普林斯顿大学物理学教授,39072
yi chang,Yanshan University,10049
yan song,University of North Carolina at Chapel Hill,9551
serhii havrylov,University of Edinburgh,144
ivan titov,University of Edinburgh / University of Amsterdam,5545
yang wei,Chiba University,31256
tuhin chakrabarty,Post doctoral Research Scholar,217
christopher potts,"Professor of Linguistics and, by courtesy, of Computer Science, and Director of CSLI",16310
david mareček,"Institute of Formal and Applied Linguistics, Charles University in Prague",1050
jiayi zhang,"Professor, Beijing Jiaotong University",2106
daniel kang,Madigan Army Medical Center,977
zhiyu chen,"Seagate Technology, PLC",4129
chenguang zhu,Principal Researcher at Microsoft Research,1000
brian thompson,"Professor [Emeritus] of Mathematics, Simon Fraser University",1616
matt post,Johns Hopkins University,4075
peiran li,"University of California, San Diego",1
linyang li,Peking University,4808
peng qi,"Professor of Information Management, National Chi Nan University",3776
julian michael,California Institute of Technology,5153
ji ma,Professor of Neuroscience and Psychology at New York University,8681
ryan mcdonald,"Research Scientist, Google",16457
taehee jung,Xilinx,757
thomas schaaf,Carnegie Mellon University,1267
yichao zhou,Dalian University of Technology,400
sara rosenthal,IBM Research,2818
amil merchant,University of Arizona,1508
ludwig schmidt,"Associate Professor, Ludwig-Maximilians-Universität München",8178
luciano barbosa,Associate Professor - Universidade Federal de Pernambuco,3026
fatma arslan,Bahçeşehir Üniversitesi Sağlık Bilimleri Fakültesi,1574
james thorne,Research Scientist,3959
andreas vlachos,"Senior Lecturer, University of Cambridge",2575
giulio zhou,"Graduate Student, Carnegie Mellon University",218
shuai wang,harbin institute of technology,35219
bing liu,"Distinguished Professor, University of Illinois at Chicago",64556
nithin holla,"MSc AI, University of Amsterdam",1
weijia xu,The University of Texas at Austin,591
ahmet üstün,Amasya Üniversitesi,458
hung le,"University Professor Emeritus, School of Environmental Sciences, University of Guelph",15625
shrey desai,Facebook,8
jindřich libovický,LMU Munich,445
alexander fraser,"Professor of Psychology, Simon Fraser University",6849
tao shen,University of Electronic Science and Technology of China,13490
rui wang,"York University, Laurentian University, Lakehead University, University of Saskatchewan …",29585
xingyi cheng,Lam Reaserch,5673
yuan qi,"Division of Nephrology, University of California, San Francisco",74793
hossein hassani,Associate Professor of Mining and Petroleum Engineering,748
xin wang,Stony Brook University,51577
andré martins,Carnegie Mellon University and Instituto Superior Tecnico,3876
jungsoo park,Northwestern University,60
guanhua zhang,"Guanghua School of Management, Peking University",4786
jun quan,Imperial College London,412
fei yuan,Minnesota State University,3571
i. mele,"IASI-CNR, Rome, Italy",299
sungjin park,Inha University,40242
shijin wang,Tongji University,1589
oleg vasilyev,"Adaptive Wavelet Technologies, LLC, Superior, CO, USA",5513
yian li,Professor of Structural Engineering,40739
jihyung moon,Machaon Diagnostics,1340
bradley hauer,"Guest Researcher, National Institute of Standards and Technology (NIST)",624
siqi liu,The Rockefeller University,2105
yutaka matsuo,"Professor, University of Tokyo",11140
xin liu,shenzhen,43169
jing gu,San Diego State University,2633
zhou yu,"LMAM, School of Mathematical Sciences, Peking University",26730
prabhakar gupta,"Professor Computer Science & Mathematics, SRMS College of Engg & Tech Bareilly",68
yufeng zhang,Peking University,27428
liang wang,Tsinghua University,56162
dhivya chandrasekaran,"Assistant Professor, University of Utah",156
himanshu choudhary,"Professor of Mechanical Engineering, MNIT Jaipur",647
rajesh rohilla,"Senior Professor, Pgims, Rohtak",1048
hu xu,Southern University of Science and Technology,1559
taeuk kim,"Ph.D. student, Seoul National University",47
sang-goo lee,"Professor of Computer Science and Engineering, Seoul National University",1597
sheng zhong,Shaanxi Normal University,13672
muhammad saad saeed,"Assistant Professor, Department of Chemistry, University of Karachi, Karachi-75270 …",501
belinda z. li,Facebook AI,3
dongmei wang,"Professor of Biomedical Engineering, Georgia Institute of Technology and Emory University",11199
jian yin,"Professor, SIEMIS, Soochow University, China",7573
zihan wang,"PHD Candidate of Space Physics, University of Michigan",82
si sun,"Professor of Nanomaterials Engineering, Chungnam National University",8545
jie bao,"Professor, School of Chemical Engineering, The University of New South Wales",3303
stephen roller,Facebook AI Research,1055
jason weston,Facebook,71402
yijin liu,National Institutes of Health,5034
jinan xu,JiNan University,5145
luca benedetto,"PhD fellow, Politecnico di Milano",7
sourav sen,"Graduate Student, Duke University",5955
emine yilmaz,University College London,3161
daniel campos,"Universidad Autonoma de San Luis Potosi, Facultad de Ciencias, Mexico",2482
zhong meng,University of Michigan - Ann Arbor,428
chin-hui lee,"Professor of School of Electrical and Computer Engineering, Georgia Tech",69032
xiang dai,Sentient Science,88
cecile paris,"Acting Chief Scientist, CSIRO's Data61, Australia",7361
wenliang dai,HKUST,1
hang zhang,"Professor, Division of Engg & Tech Mgmt, Faculty of Engineering, National University of …",14450
cheng luo,"Cheng Tsang Man Chair Professor in Energy, Nanyang Technological University",86579
yue wang,"Professor, Formerly The University of Arizona, Currently Chinese Academy of Sciences",37459
shilin he,Chinese University of Hong Kong,365
wentao ma,xi'an university of technology,663
guoping hu,The University of Melbourne,343
dai hoang tran,Postdoctoral Research Fellow,436
m saiful bari,"Assistant Professor, Dept. of Dairy and Poultry Science, Chittagong Veterinary and Animal …",125
naomi saphra,Edmond J. Safra program in Parkinson's disease and the Morton and Gloria Shulman …,2484
adam lopez,Rasa / University of Edinburgh,2269
gözde gül şahin,"Postdoctoral Researcher, UKP, TU Darmstadt",142
zhe zhang,University of South Florida,18096
wai lam,The Chinese University of Hong Kong,8019
tian shi,"The Chinese University of Hong Kong, Shenzhen",1621
chandan k. reddy,"Professor, Computer Science, Virginia Tech",5219
ji xin,"Professor, Boston University",23804
xiang kong,The Chinese University of Hong Kong,44198
tharindu ranasinghe,University of Wolverhampton,35
omar khattab,"ass. professor of surgery, university of baghdad",76
matei zaharia,Stanford DAWN Lab and Databricks,49313
claudia wagner,"Professor, University of Guelph",5173
haiyang xu,"Institute of High Performance Computing, Singapore",340
xinyue zheng,University of Missouri-Columbia,368
su zhu,"Associate Professor of Finance, Shenandoah University",5017
kai yu,"Founder&CEO of Horizon Robotics , Founder of Baidu IDL and Baidu Autonomous Driving",22483
liu yang,"Associate Professor, Department of Pediatrics, Indiana University",86521
jesse vig,Salesforce,1072
jiaao chen,Shanghai Jiao Tong University,42953
diyi yang,Georgia Tech,4490
abhishek kumar,iit delhi,42233
hongyu lin,"Institute of Software, Chinese Academy of Sciences",71
le sun,"Professor of Institut National de la Recherche Scientifique (INRS)-Energy, Materials, and …",11558
qi tian,"Professor, IEEE Fellow, Department of Computer Science, University of Texas at San …",21913
kenneth joseph,"Professor of Economics Emeritus, Stanford University",220328
junghyun min,Baylor University,2679
song han,Massachusetts Institute of Technology,14111
biao zhang,ShanghaiTech University,6910
xiwen chen,CSIRO,8416
hamed jelodar,Nanjing University of Science and Technology,150
yi liao,National Taiwan University,2060
gregor wiedemann,"LT Group, Hamburg University",519
fangyu liu,Rockefeller University,446
ahmed zaidi,"Faculty of Engineering, National Defense University of Malaysia",1362
andrew rice,Imperial College London,22194
irene li,thể thao,6453
jae sung park,POSTECH,17216
james hefford,University of Oxford,2
yang zhao,The Pennsylvania State University,32656
yunsu kim,Korea Polytechnic University,8305
rui liu,Arizona,2370
weiping wang,"School of Information Science and Engineering, Central South University",3500
yi ren,Zhejiang University,142
wenhu chen,Tsinghua University,2747
nathan schneider,"Army Materials and Mechanics Research Center, Natick Soldier Systems Center",4562
ahmed sabir,The University of Melbourne,139
lluís padró,Escola Nacional de Ciências Estatísticas,6792
yuan rao,The George Washington University,498
feng lu,National University of Singapore,3419
david graus,nederland,142
viet duong,"CIRED, CNRS, France and VIET SE, Vietnam",3078
ying shen,Chair Professor @ National Taiwan University of Science and Technology,12699
david harbecke,Tiplu GmbH,9
nils reimers,"Post-Doctoral Researcher, UKP, Technical University of Darmstadt",716
irwin king,The Chinese University of Hong Kong,18416
tanmoy chakraborty,Siliguri,2413
zheng zhang,CS,9328
jonathan may,"Professor of Psychology, Plymouth University",7322
vivek srivastava,Virginia Tech,854
mayank singh,assistant professor,5084
chen wu,University of Utah,8097
akshay smit,Stanford University,2
rahma chaabouni,Facebook AI Research and CoML,49
marco baroni,ICREA Professor (Barcelona) and FAIR Research Scientist (Paris),14384
pratik joshi,Assistant Professor in Mechanical Engg. Dpt.,467
archna bhatia,Institute for Human and Machine Cognition,625
lu qin,"Professor of College of Engineering and Applied Sciences, Nanjing University",13591
hui lin,University of Virginia,26516
xiaodong liu,"Academy of Mathematics and System Science, Chinese Academy of Sciences",3913
or sharir,Hebrew University of Jerusalem,511
chin lee,"Professor of School of Electrical and Computer Engineering, Georgia Tech",69032
sibei yang,"Associate Professor, Lanzhou University",570
yizhou yu,Berkeley--UIUC--HKU,9793
ming zhong,"College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials …",18228
amanpreet singh,"Assistant Professor, CSE department, Chandigarh University",23467
katie mo,University of Macau,4657
aylin caliskan,"Assistant Professor of Computer Science, The George Washington University",1459
wang chen,"Senior Research Scientist, Intel Labs",189665
william merrill,"Principal for Communication & Networking, Integrated Solutions for Systems",4736
eric michael smith,"J. Erik Jonsson Professor of Information Technology and Marketing, Carnegie Mellon …",12967
noa garcia,Osaka University,77
chenglin xu,"PhD Student, Nanyang Technological University",199
yekun chai,"Institute of Automation, Chinese Academy of Sciences",1
amrith krishna,Computational Engineering and Networking,263
pawan goyal,"Associate Professor, Computer Science and Engineering, IIT Kharagpur",1109
dian yu,Tencent AI Lab,410
yong yu,"Professor, Shanghai Jiao Tong University",21265
piji li,Tencent AI Lab,827
uddalok sarkar,"Department of Electrical Engineering, Jadavpur University",4
dipak ghosh,Deepa Ghosh Research Foundation,4608
md. rezaul karim,"The University of Newcastle, Australia",563
tom bosc,"Professor, University Kiel, Germany",12035
haoyu song,Futurewei Technologies,3556
dong-ho lee,"Department of Industrial Engineering, Hanyang University",2456
william wang,Instructional Technology Specialist,57010
xiaoqing zheng,Tongji University,2306
bin bi,College of Arts and Science - Prince Sattam Bin Abdulaziz University,92
grzegorz chrupała,Associate Professor at Tilburg University,1189
deming ye,Tsinghua University,34
zhiyuan liu,"Associate Professor, Tsinghua University",9766
venkatesh kannan,Vellore Institute of Technology,192
tae jin park,KAERI; UC Davis; SUNY Stony Brook; Yonsei Univ.,2674
shrikanth narayanan,"University Professor and Niki & Max Nikias Chair in Engineering, University of Southern …",34022
xinyi wang,Baylor College of Medicine; University of Southern California,681
xia cui,Xi'an Technological University,35
carlos escolano,Bitbrain,596
steven jiang,"Professor, University of Texas Southwestern Medical Center",21091
saeed hassanpour,"Associate Professor, Biomedical Data Science, Dartmouth",704
wietse de vries,"Profesor-Investigador Benemérita Universidad Autónoma de Puebla, México",1567
shu liu,Tongji University,84097
hao fei,Shandong University of Technology,25977
hong guan,The University of Hong Kong,28139
andrew tomkins,Google,34265
xiujun li,"Associate Professor, University of Texas at El Paso",3252
markus freitag,IBM TJ Watson Research Center,11991
tomoya sasaki,Wroclaw University of Science and Technology,84
fatima haouari,The University of Tokyo,119
hyunwoo kim,"Associate Professor, Qatar University",1284
gunhee kim,KRICT,13019
jiajun zhang,Samsung Display,2752
chengqing zong,Institute of Automation Chinese Academy of Sciences,1475
zhen ke,"Institute of Automation, Chinese Academy of Sciences",4664
jing jiang,Karolinska Institutet / Harvard Medical School / City University of Hong Kong,9156
donghyun choi,University of Western Ontario,13297
deng cai,Korea Aerospace University,882
uma roy,"Professor of Computer Science, Zhejiang University",23349
yinfei yang,Google Research,10
qian liu,google,1229
dongmei zhang,"Associate Professor of IELM, HKUST",5456
yu-an chung,Microsoft Research,3923
yi yang,Massachusetts Institute of Technology,534
edwin zhang,"Associate Professor of College of Atmospheric Sciences, Lanzhou University",26310
jiaqi li,"University of California, San Francisco",18868
bing qin,imec,1533
rohan jagtap,Professor in Harbin Institute of Technology,7384
denny vrandečić,University of Mississippi Medical Center,4
dave carter,Google,6602
matej gjurković,Robarts Research Institute,7583
jan šnajder,"PhD Student, University of Zagreb, Faculty of Electrical Engineering and Computing",32
michael zeng,"Assoc. Prof, University of Zagreb, FER, Croatia",1494
vassil vassilev,LAB Head of Merck KGaA,1762
ahmad al taweel,Francisk Skorina Gomel State University,699
joão g. ribeiro,University of Arkansas at Little Rock,66
miguel ballesteros,"Laboratório de Herpetologia, UNESP Rio Claro",764
stefan constantin,"Senior Applied Scientist, Amazon",5389
alex wang,"Constantine the Philosopher University in Nitra, Institute of Informatics, SAS, Bratislava",1658
a. d. correia,National Institutes of Health,46443
jing bai,"Professora Saúde da Família, Faculdade de Medicina,Universidade Federal de Mato …",3881
jeremy barnes,Shanghai Jiao Tong University （上海交通大学）,3260
hao zhou,"Professor of Environmental Biology, Newcastle University",7450
lu hou,"PBC School of Finance, Tsinghua University",7553
nikhil kumar rajput,Beijing University of Posts and Telecommunications,428
elia bruni,"Jawaharlal Nehru University and Ramanujan College, University of Delhi",45
xinyu wang,University of Osnabrück,2613
hassan sajjad,Nanjing University,47970
yue zhou,"Qatar Computing Research Institute, HBKU",1315
jingtao yao,creatis,3009
cheng li,"Professor of Computer Science, University of Regina",5141
ye tian,chang'an university,46860
tianda li,Chinese Academy of Sciences,4355
jia-hong huang,Queen's Univeristy,6
jun chen,National Tsing Hua University,3108
xiangliang zhang,Nankai University,67701
muhammad asif ali,"Associate Professor, KAUST",3232
priyanka sen,ESPCI France,149
amir saffari,"Asst. Prof., Electrical engineering",17
lukas stankevičius,"Amazon, Cambridge",6357
mantas lukoševičius,Doctoral student,15
yi zheng,Kaunas University of Technology,3033
shu chen,University of Minnesota,73074
zdeněk kasner,"Tunghai University and National Cheng Kung University,",34757
jindřich helcl,"Institute of Formal and Applied Linguistics, Charles University, Prague, Czechia",1
lisai zhang,"PhD. Student, Charles University",403
jan niehues,University of Kansas Medical Center,1941
seanie lee,"Department of Data Science and Knowledge Engineering (DKE), Maastricht University",2004
seungjae shin,The University of New South Wales,13025
bowen wu,Mississippi State University,441
nan shao,Stanford University,98
daniel edmiston,The First Affiliated Hospital of Sun Yat-sen University,123
aaron traylor,University of Leeds,308
jiangming liu,University of Lethbridge,184
zhiqing sun,"PhD candidate, ILCC, School of Informatics, University of Edinburgh",239
denny zhou,Sun Yat-sen University,1138
alexander leclair,"Research Scientist, Google Brain",13011
collin mcmillan,Institut Pasteur,3642
amr sharaf,Clemson University,2108
shen li,University of Maryland,72
ming zhou,"Professor of Informatics, University of Pennsylvania Perelman School of Medicine",11316
wei peng,"Assistant Managing Director at Microsoft Research Asia, ACL president (2019), VP of CCF …",19684
junzhou zhao,"Michigan State University, Professor",5384
tian lan,"School of Information and Communication Technology, Griffith University",2990
k. r. chowdhary,George Washington University,3693
mayank tripathi,"Professor of CSE, JIET",864
noe casas,University of Canterbury,44
weijie liu,Polytechnic University of Catalonia. Barcelona,97
qi ju,postdoc researcher,158
deepak gupta,MediaTek Inc.,900
xingyuan chen,https://techboxstudio.com/,12242
bang liu,"Scientist, Pacific Northwest National Laboratory",1123
yu xu,"Associate professor, Linköping University",520
ming tu,Chinese University of Hong Kong,27488
bowen zhou,Research Scientist at Bytedance,256
yufan zhao,"VP, JD.com; Head of JD AI & Director of JD AI Research",7901
jun zhao,"Senior Lecturer, Cranfield University",896
xiao liu,"McGill Univ, Tulane Univ, Stanford Univ",44652
yanyan zou,NeoImmune,21525
tao zhang,"Research Scientist, Institute of Microelectronics",179
philip yu,"Professor, Dalian Institute of Chemical Physics, Chinese Academy of Sciences, China",32600
ivana kajić,"Professor of Computer Science, University of Illinons at Chicago",125818
han fu,"PhD student, University of Waterloo",51
xutan peng,Industrial Technology Research Institute/Electronics and Optoelectronics System Research,339
chen li,"Associate Professor, Beijing University of Chemical Technology",1064
vivek gupta,Florida International University,44225
jonathan dunn,SEGi University,5741
yuliang li,Indiana University,273
simran k,Harvard University,646
yuanen zhou,"PUNJABI UNIVERSITY, PATIALA",3805
hanwang zhang,"Zhou Pei-Yuan Center for Applied Mathematics, Tsinghua University",10587
mohammed ibrahim,"Assistant Professor, SCSE, Nanyang Technological University",6151
mohammed alqahatani,"Professor in Orthodontics Faculty of dentistry, Suez Canal University",25057
joão antônio chagas nunes,"Assisstant professor of prosthetic scince,King Saud university",297
arijit das,Universidade Federal de Pernambuco,7
rodrigo agerri,"Assistant Professor, Department of Microbiology, School of Sciences, Jain University",913
jan hofmann,"IXA NLP Group, UPV/EHU",756
yawei sun,"(Passed away on Jan 16 2019)  Emeritus Professor, The University of Melbourne,  HKUST",3351
juan c quiroz,China University of Petroleum,1249
pei zhang,"Stock Assessment Department, Fisheries Research Institute (CHILE)",532
sarah schulz,yale university,21705
chengyu wang,"Associate Professor, Seattle University",1308
ankit kumar,National Chiao Tung University,504
anuj gupta,Assistant Professor,29486
zhenzhong chen,IK Gujral Punjab Technical University,993
ding zhao,Wuhan University,3285
yuchen lu,"Howard Hughes Medical Institute, Janelia Farm Research Campus",1950
xuan wang,ExxonMobil Research and Engineering Company,1675
sriraam natarajan,"Professor at geochemistry and geodynamics, Yunnan Univeristy",6795
yunpeng zhao,University of Texas at Dallas,2828
jiang bian,"Professor of coastal and ocean engineering, Dalian University of Technology",1268
alina arseniev-koehler,"Principal Researcher, Microsoft Research",2818
shaojie jiang,"Department of Sociology, UCLA",120
debraj basu,"ILPS group, University of Amsterdam",233
xiaodong wu,Post Doctoral  Researcher,130
abhilash jain,University of Iowa,4432
haiyan yin,Clinical Senior Lecturer and Consultant Plastic Surgeon,7128
ping li,Nanyang Technological University,149
radomir popović,"Chongqing University, Optoelectronic Department",27084
yan xiao,RWTH Aachen,4
haoran zhang,"Professor (Environmental Engineering), Department of Civil Engineering, The University of …",12616
marzyeh ghassemi,"Assistant Professor, Rutgers, The State University of New Jersey",1640
kunwoo park,"Assistant Professor, Computer Science/Medicine, University of Toronto & Vector Institute",1531
xiangang li,Korea University,3144
xiao li,Beijing Jiaotong University,1411
han liu,University of Electronic Science and Technology,31023
shantao liu,Student at University of Southampton,42000
claudia schulz,Shantou University,249
damir juric,Babylon Health,323
junjie hu,CNRS,4249
melvin johnson,"Associate Professor, North China Electric Power University",1232
david schindler,Robert Wood Johnson Medical School,20025
frank krüger,The Cleveland Clinic,356
kevin clark,Associate Professor of Systems Social Neuroscience,9765
thong nguyen,villanova,3857
michael stewart,California Institute of Technology,15235
wei liu,Airedale NHS FT,3433
thai-son nguyen,"Associate Professor, Department of Astronautic Science and Mechanics, Harbin Institute of …",53596
yao qiang,Tra Vinh University,615
thai son nguyen,"Department of Thermal Engineering, Tsinghua University",3415
pietro bongini,Tra Vinh University,615
xiaoya li,"PHD Student, University of Florence, University of Siena",2
jiwei li,Imperial College London,446
shiyu chang,"Shannon.AI, Dept. of Computer Science, Stanford University",5929
jonathan j. harris,MIT-IBM Watson AI Lab,3742
anmol bhasin,"NRG Oncology Statistics and Data Management Center, American College of Radiology",10906
yoonjae jeong,"Director of Engineering, Linkedin.com",702
matthew stevenson,"College of Medicine, Gachon University",1819
cristián bravo,University of Michigan,306
kyumin lee,"Associate Professor and Canada Research Chair, Western University",636
ngoc-quan pham,Associate Professor,4338
vivek kulkarni,Karlsruhe Institute of Technology,230
raza habib,Stanford,1596
lin yuan,UCL,17
chris dyer,University of Electronic Science and Technology of China,10291
adil khan,DeepMind,26848
ana valeria gonzalez,lecturer telecommunication,24276
eda okur,PhD student at University of Copenhagen,35
shuyan zhou,Research Scientist,98
felix wu,Associate Professor of University of Electronic Science and Technology of China,670
fahad alghamdi,University of California,6840
jinyu li,1Department of Management Information Systems,2462
andrew rosenberg,Partner Applied Scientist,6018
sanqiang zhao,Google,2856
jose manuel gomez-perez,Griffith University,1290
fábio souza,Director R&D,1511
mohammad izadi,Pesquisador Científico do Laboratório de Neuroimagem em Psiquiatria,3153
thomas winters,Software Engineer at Google Inc.,383
dongyan zhao,PhD Researcher,27
adam fisch,Peking University,3399
